C1, 11.43, 76.20, 270.00, 0.1uF, C0805
C13, 58.42, 57.15, 270.00, 10uF, C0805
C16, 38.10, 46.99, 270.00, 10uF, C0805
C2, 11.43, 62.23, 270.00, 0.1uF, C0805
C3, 11.43, 48.26, 270.00, 0.1uF, C0805
C4, 11.43, 90.17, 270.00, 0.1uF, C0805
C5, 48.51, 64.64, 270.00, 100nF, C0805
C6, 32.89, 85.98, 180.00, 100nF, C0805
J1, 65.04, 62.23, 90.00, 1050170001, MOLEX_1050170001
LED1, 54.61, 71.12, 90.00, 2V, CHIP-LED0805
R10, 60.96, 71.12, 0.00, 1kR, R0805
R11, 53.34, 31.75, 90.00, 330R, R0805
R12, 53.34, 25.40, 90.00, 50kR, R0805
R13, 40.64, 38.10, 90.00, 1kR, R0805
R14, 38.10, 31.75, 90.00, 1kR, R0805
R15, 38.10, 25.40, 90.00, 1kR, R0805
R3, 45.72, 38.10, 90.00, 1kR, R0805
R4, 45.72, 31.75, 90.00, 1kR, R0805
R5, 45.72, 25.40, 90.00, 1kR, R0805
R6, 53.34, 38.10, 90.00, 1kR, R0805
R7, 38.10, 77.47, 90.00, 2.7kR, R0805
SW1, 5.37, 61.71, 90.00, MOMENTARYBUTTON, SPST_NO_SMD
SW2, 5.37, 89.65, 90.00, MOMENTARYBUTTON, SPST_NO_SMD
SW3, 5.37, 75.68, 90.00, MOMENTARYBUTTON, SPST_NO_SMD
SW4, 5.37, 47.74, 90.00, MOMENTARYBUTTON, SPST_NO_SMD
U$1, 2.54, 11.43, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$3, 45.72, 52.07, 0.00, MCP4822-E/MS, SOP65P490X110-8N
U$4, 66.04, 11.43, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$5, 2.54, 97.79, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$6, 66.04, 97.79, 0.00, FIDUCIAL, FIDUCIAL_1MM
U1, 38.10, 64.77, 0.00, ATMEGA328PB-AU, QFP80P900X900X120-32N
U5, 31.75, 52.07, 0.00, AD8221ARMZ-RL, SOP65P490X110-8N
